"0212","Características y necesidades de las personas en situación de dependencia","Característiques i necessitats de les persones en situació de dependència","3"
"0213","Atención y apoyo psicosocial","Atenció i suport psicosocial","3"
"0214","Apoyo a la comunicación","Suport a la comunicació","3"
"0215","Apoyo domiciliario","Suport domiciliari","3"
"0216","Atención sanitaria","Atenció sanitària","3"
"0217","Atención higiénica","Atenció higiènica","3"
"0218","Formación y orientación laboral.","Formació i orientació laboral.","3"
"0219","Empresa e iniciativa emprendedora.","Empresa i iniciativa emprenedora.","3"
"0221","Montaje y mantenimiento de equipos","Muntatge i manteniment d'equips","24"
"0222","Sistemas operativos monopuesto","Sistemes operatius monolloc","24"
"0223","Aplicaciones ofimáticas","Aplicacions ofimàtiques","24"
"0224","Sistemas operativos en red","Sistemes operatius en xarxa","24"
"0225","Redes locales","Xarxes locals","24"
"0226","Seguridad informática","Seguretat informàtica","24"
"0227","Servicios en red","Servicis en xarxa","24"
"0228","Aplicaciones web","Aplicacions web","24"
"0229","Formación y orientación laboral","Formació i orientació laboral","24"
"0230","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","24"
"028001","Formación y orientación laboral","Formació i orientació laboral","8"
"028100","Relaciones en el equipo de trabajo","Relacions en l'equip de treball","8"
"028501","Operaciones administrativas y documentación sanitaria","Operacions administratives i documentació sanitària","8"
"028502","Técnicas básicas de enfermería","Tècniques bàsiques d'infermeria","8"
"028503","Higiene del medio hospitalario y limpieza de material","Higiene del medi hospitalari i neteja de material","8"
"028504","Promoción de la salud y apoyo psicológico al paciente","Promoció de la salut i suport psicològic al pacient","8"
"028505","Técnicas de ayuda odontológica/estomatológica","Tècniques d'ajuda odontològica/estomatològica","8"
"029001","Formación y orientación laboral","Formació i orientació laboral","54"
"029506","Organización y gestión de la unidad","Organització i gestió de la unitat ","54"
"029507","Aguas de uso y consumo","Aigües d'ús i consum","54"
"029508","Residuos sólidos y medio construido","Residus sòlids i medi construït","54"
"029509","Control y vigilancia de la contamin","Control i vigilància de la contam.","54"
"029510","Contaminación atmosférica, ruidos ","Contaminació atmosfèrica, sorolls","54"
"029511","Productos químicos y vectores ","Productes químics i vectors ","54"
"029512","Educación sanitaria y promoción ","Educació sanitària i promoció ","54"
"0337","Contexto de la intervención social","Context de la intervenció social","44"
"0338","Inserción sociolaboral","Inserció sociolaboral","44"
"0339","Atención a las unidades de convivencia","Atenció a les unitats de convivència","44"
"0340","Mediación comunitaria","Mediació comunitària","44"
"0341","Apoyo a la intervención educativa","Suport a la intervenció educativa","44"
"0342","Promoción de la autonomía personal","Promoció de l'autonomia personal","44"
"0343","Sistemas alternativos y aumentativos de comunicación","Sistemes alternatius i augmentatius de comunicació","44"
"0344","Metodología de la intervención social","Metodologia de la intervenció social","44"
"0346","Formación y orientación laboral","Formació i orientació laboral","44"
"0347","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","44"
"0369","Implantación de Sistemas Operativos","Implantació de Sistemes Operatius","30"
"0370","Planificación y Administración de Redes","Planificació i Administració de Xarxes","30"
"0371","Fundamentos de Hardware","Fonaments de Maquinari","30"
"0372","Gestión de Bases de Datos","Gestió de Bases de Dades","30"
"0373","Lenguajes de marcas y sistemas de gestión de información","Llenguatges de marques i sistemes de gestió d'informació","30"
"0374","Administración de Sistemas Operativos","Administració de Sistemes Operatius","30"
"0375","Servicios de Red e Internet","Servicis de Xarxa i Internet","30"
"0376","Implantación de Aplicaciones Web","Implantació d'Aplicacions Web","30"
"0377","Administración de Sistemas Gestores de Bases de Datos","Administració de Sistemes Gestors de Bases de Dades","30"
"0378","Seguridad y Alta Disponibilidad","Seguretat i Alta Disponibilitat","30"
"0380","Formación y orientación laboral","Formació i orientació laboral","30"
"0381","Empresa e Iniciativa emprendedora","Empresa i Iniciativa emprenedora","30"
"0437","Comunicación empresarial y atención al cliente","Comunicació empresarial i atenció al client","18"
"0438","Operaciones administrativa de compra-venta","Operacions administrativa de compra-venda","18"
"0439","Empresa y administración","Empresa i administració","18"
"0440","Tratamiento informático de la información ","Tractament informàtic de la informació ","18"
"0441","Técnica contable","Tècnica comptable","18"
"0442","Operaciones administrativas de recursos humanos","Operacions administratives de recursos humans","18"
"0443","Tratamiento de la documentación contable","Tractament de la documentació comptable","18"
"0446","Empresa en el aula","Empresa en l'aula","18"
"0448","Operaciones auxiliares de gestión de tesorería","Operacions auxiliars de gestió de tresoreria","18"
"0449","Formación y orientación laboral","Formació i orientació laboral","18"
"0483","Sistemas informáticos","Sistemes informàtics","32"
"0484","Bases de Datos","Bases de Dades","32"
"0485","Programación","Programació","32"
"0486","Acceso a datos","Accés a dades","32"
"0487","Entornos de desarrollo","Entorns de desenrotllament","32"
"0488","Desarrollo de interfaces","Desenrotllament d'interfícies","32"
"0489","Programación multimedia y dispositivos móviles","Programació multimèdia i dispositius mòbils","32"
"0490","Programación de servicios y procesos","Programació de servicis i processos","32"
"0491","Sistemas de gestión empresarial","Sistemes de gestió empresarial","32"
"0493","Formación y orientación laboral","Formació i orientació laboral","32"
"0494","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","32"
"0496","Control del aprovisionamiento de materias primas","Control de l'aprovisionament  de matèries primeres","36"
"0497","Procesos de preelaboración y conservación en cocina","Processos de preelaboració i conservació en cuina","36"
"0498","Elaboraciones de pastelería y repostería","Elaboracions de pastisseria i rebosteria","36"
"0499","Procesos de elaboración culinaria","Processos d'elaboració culinària","36"
"0500","Gestión de la producción en cocina","Gestión de la producción en cocina","36"
"0501","Gestión de la calidad y de la seguridad e higiene alimentaria","Gestió de la qualitat i de la seguretat i higiene alimentàries","36"
"0502","Gastronomía y nutrición","Gastronomia i nutrició","36"
"0503","Gestión administrativa y comercial en restauración","Gestió administrativa i comercial en restauració","36"
"0504","Recursos humanos y dirección de equipos en restauración","Recursos humans i direcció d'equips en restauració","36"
"0506","Formación y orientación laboral","Formació i orientació laboral","36"
"0507","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","36"
"0509","Procesos de servicios en bar-cafetería","Processos de servicis en bar-cafeteria","38"
"0510","Procesos de servicios en restaurante","Processos de servicis en restaurant","38"
"0511","Sumillería","Sumilleria","38"
"0512","Planificación y dirección de servicios y eventos en restauración","Planificació i direcció de servicis i esdeveniments en restauració","38"
"0514","Formación y orientación laboral","Formació i orientació laboral","38"
"0515","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","38"
"0612","Desarrollo WEB en entorno cliente","Desenrotllament WEB en entorn client","35"
"0613","Desarrollo WEB en entorno servidor","Desenrotllament WEB en entorn servidor","35"
"0614","Despliegue de aplicaciones WEB","Desplegament d'aplicacions WEB","35"
"0615","Diseño de interfaces WEB","Disseny d'interfícies WEB","35"
"0617","Formación y orientación laboral","Formació i orientació laboral","35"
"0618","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","35"
"0633","Técnicas de higiene facial y corporal","Tècniques d'higiene facial i corporal","16"
"0634","Maquillaje","Maquillatge","16"
"0635","DEPILACIÓN MECÁNICA Y DECOLORACIÓN DEL VELLO","DEPILACIÓ MECÀNICA I DECOLORACIÓ DEL BORRISSOL","16"
"0636","Estética de manos y pies","Estètica de mans i peus","16"
"0637","TÉCNICAS DE UÑAS ARTIFICIALES","TÈCNIQUES D'UNGLES ARTIFICIALS","16"
"0638","Análisis estético","Anàlisi estètica","16"
"0639","ACTIVIDADES EN CABINA DE ESTÉTICA","ACTIVITATS EN CABINA D'ESTÈTICA","16"
"0640","Imagen corporal y hábitos saludables","Imatge corporal i hàbits saludables","16"
"0641","Cosmetología para estética y belleza","Cosmetologia per a estètica i bellesa","16"
"0642","PERFUMERÍA Y COSMÉTICA NATURAL","PERFUMERIA I COSMÈTICA NATURAL","16"
"0643","Marketing y venta en imagen personal","Màrqueting i venda en imatge personal.","16"
"0644","FORMACIÓN Y ORIENTACIÓN LABORAL","FORMACIÓ I ORIENTACIÓ LABORAL","16"
"0645","EMPRESA E INICIATIVA EMPRENDEDORA","EMPRESA I INICIATIVA EMPRENEDORA","16"
"0647","Gestión de la documentación jurídica y empresarial","Gestió de la documentació jurídica i empresarial","28"
"0648","Recursos humanos y responsabilidad social corporativa","Recursos humans i responsabilitat social corporativa ","28"
"0649","Ofimática y proceso de la información","Ofimàtica i procés de la informació","28"
"0650","Proceso integral de la actividad comercial","Procés integral de l'activitat comercial","28"
"0651","Comunicación y atención al cliente","Comunicació i atenció al client","28"
"0652","Gestión de recursos humanos","Gestió de recursos humans","28"
"0653","Gestión financiera","Gestió financera ","28"
"0654","Contabilidad y fiscalidad","Comptabilitat i fiscalitat","28"
"0655","Gestión logística y comercial","Gestió logística i comercial","28"
"0656","Simulación empresarial","Simulació empresarial","28"
"0658","Formación y orientación laboral","Formació i orientació laboral","28"
"0665","Formación y orientación laboral","Formació i orientació laboral","29"
"0744","Aparatología estética","Aparellologia estètica ","42"
"0745","Estética hidrotermal","Estètica hidrotermal","42"
"0746","Depilación avanzada","Depilació avançada","42"
"0747","Masaje estético","Massatge estètic","42"
"0748","Drenaje estético y técnicas por presión","Drenatge estètic i tècniques per pressió","42"
"0749","Micropigmentación","Micropigmentació","42"
"0750","Procesos fisiológicos y de higiene en imagen personal ","Processos fisiològics i d'higiene en imatge personal","42"
"0751","Dermoestética","Dermoestètica","42"
"0752","Cosmética aplicada a estética y bienestar ","Cosmètica aplicada a estètica i benestar","42"
"0753","Tratamientos estéticos integrales","Tractaments estètics integrals","42"
"0755","Formación y orientación laboral ","Formació i orientació laboral","42"
"0756","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","42"
"0831","Teleasistencia","Teleasistència","3"
"0842","Peinados y recogidos","Pentinats i arreplegats","20"
"0843","Coloración capilar","Coloració capil·lar","20"
"0844","Cosmética para peluquería","Cosmètica per a perruqueria","20"
"0845","Técnicas de corte del cabello","Tècniques de tall del cabell","20"
"0846","Cambios de forma permanente del cabello","Canvis de forma permanent del cabell","20"
"0848","Peluquería y estilismo masculino","Perruqueria i estilisme masculí","20"
"0849","Análisis capilar","Anàlisi capil·lar","20"
"0851","Formación y orientación laboral","Formació i orientació laboral.","20"
"0852","Empresa e iniciativa emprendedora.","Empresa i iniciativa emprenedora.","20"
"1123","ACTIVIDADES DE OCIO Y TIEMPO LIBRE","ACTIVITATS D'OCI I TEMPS LLIURE","56"
"1124","DINAMIZACIÓN GRUPAL","DINAMITZACIÓ GRUPAL","56"
"1125","ANIMACIÓN Y GESTIÓN CULTURAL","ANIMACIÓ I GESTIÓ CULTURAL","56"
"1126","ANIMACIÓN TURÍSTICA","ANIMACIÓ TURÍSTICA","56"
"1128","Desarrollo comunitario","Desenrotllament comunitari","56"
"1129","INFORMACIÓN JUVENIL","INFORMACIÓ JUVENIL","56"
"1130","INTERVENCIÓN SOCIOEDUCATIVA CON JÓVENES","INTERVENCIÓ SOCIOEDUCATIVA AMB JÓVENS","56"
"1131","CONTEXTO DE LA ANIMACIÓN SOCIOCULTURAL","CONTEXT DE L'ANIMACIÓ SOCIOCULTURAL","56"
"1133","FORMACIÓN Y ORIENTACIÓN LABORAL","FORMACIÓ I ORIENTACIÓ LABORAL","56"
"1134","EMPRESA E INICIATIVA EMPRENDEDORA","EMPRESA I INICIATIVA EMPRENEDORA","56"
"1345","Atención al paciente","Atenció al pacient","51"
"1346","Fundamentos físicos y equipos","Fonaments físics i equips","51"
"1347","Anatomía por la imagen","Anatomia per la imatge","51"
"1348","Protección radiológica","Protecció radiològica","51"
"1349","Técnicas de radiología simple","Tècniques de radiologia simple","51"
"1350","Técnicas de radiología especial","Tècniques de radiologia especial","51"
"1351","Técnicas de tomografía computarizada y ecografía","Tècniques de tomografia computada i ecografia","51"
"1352","Técnicas de imagen por resonancia magnética","Tècniques d¿imatge per ressonància magnètica","51"
"1353","Técnicas de imagen en medicina nuclear","Tècniques d¿imatge en medicina nuclear","51"
"1354","Técnicas de radiofarmacia","Tècniques de radiofarmàcia","51"
"1355","Proyecto de imagen para el diagnóstico y medicina nuclear","Projecte d¿Imatge per al Diagnòstic i Medicina Nuclear","51"
"1356","Formación y orientación laboral","Formació i orientació laboral","51"
"1357","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","51"
"1358","Formación en centros de trabajo","Formació en Centres de Treball","51"
"1367","Gestión de muestras biológicas","Gestió de mostres biològiques","45"
"1368","Técnicas generales de laboratorio","Tècniques generals de laboratori","45"
"1369","Biología molecular y citogenética","Biologia molecular i citogenètica","45"
"1370","Fisiopatología general","Fisiopatologia general","45"
"1371","Análisis bioquímico","Anàlisi bioquímica","45"
"1372","Técnicas de inmunodiagnóstico","Tècniques d¿immunodiagnòstic","45"
"1373","Microbiología clínica","Microbiologia clínica","45"
"1374","Técnicas de análisis hematológico","Tècniques d¿anàlisi hematològica","45"
"1376","Formación y orientación laboral","Formació i orientació laboral","45"
"1377","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","45"
"1546","Sistemas de gestión ambiental","Sistemes de gestió ambiental","58"
"1547","Educación para la salud y el medio ambiente","Educació per a la salut i el medi ambient","58"
"1548","Control de aguas","Control d'aigües","58"
"1549","Control de residuos","Control de residus","58"
"1550","Salud y riesgos del medio construido","Salut i riscos del mig construït","58"
"1551","Control y seguridad alimentaria","Control i seguretat alimentària","58"
"1552","Contaminación ambiental y atmosférica","Contaminació ambiental i atmosfèrica","58"
"1553","Control de organismos nocivos","Control d'organismes nocius","58"
"1554","Unidad de salud ambiental","Unitat de salut ambiental","58"
"1556","Formación y orientación laboral","Formació i orientació laboral","58"
"1557","Empresa e iniciativa emprendedora","Empresa i iniciativa emprenedora","58"
"3005","Atención al cliente","Atenció al client","57"
"3009","Ciencias Aplicadas I","Ciències aplicades I","57"
"3011","Comunicación y Sociedad I","Comunicació i societat I","57"
"3011cv","Castellano-Valenciano","Castellà-Valencià","57"
"3011e","Lengua Extranjera","Llengua Estrangera","57"
"3011s","Ciencias Sociales ","Ciències Socials ","57"
"3012","Comunicación y Sociedad II","Comunicació i Societat II","57"
"3012cv","Castellano-Valenciano II","Castellà-Valencià II","57"
"3012e","Lengua Extranjera II","Llengua Estrangera II","57"
"3012s","Ciencias Sociales II","Ciències Socials II","57"
"3042","Ciencias Aplicadas II","Ciències Aplicades II","57"
"3060","Preparación del entorno profesional","Preparació de l'entorn professional","57"
"3061","Cuidados estéticos básicos de uñas","Cures estètiques bàsiques d'ungles","57"
"3062","Depilación mecánica y decoloración del vello superfluo","Depilació mecànica i decoloració del borrissol superflu","57"
"3063","Maquillaje","Maquillatge","57"
"3064","Lavado y cambios de forma del cabello","Llavat i canvis de forma del cabell","57"
"3065","Cambio de color del cabello","Canvi de color del cabell","57"
"3067p","Formación en centros de trabajo (UF1)","Formació en centres de treball (UF1)","57"
"5021","Incidentes de ciberseguridad","Incidents de ciberseguretat","59"
"5022","Bastionado de redes y sistemas","Bastionado de xarxes i sistemes","59"
"5023","Puesta en producción segura","Posada en producció segura","59"
"5024","Análisis forense informático","Anàlisi forense informàtic","59"
"5025","Hacking ético","Hacking ètic","59"
"5026","Normativa de ciberseguridad","Normativa de ciberseguretat","59"
"CV0001","Inglés Técnico I-M / Horario reservado para la docencia en inglés","Anglés Tècnic I-M / Horari reservat per a la docència en anglés","3"
"CV0002","Inglés Técnico II-M / Horario reservado para la docencia en inglés","Anglés Tècnic II-M / Horari reservat per a la docència en anglés","3"
"CV0003","Inglés Técnico I-S / Horario reservado para la docencia en inglés","Inglés Técnico I-S / Horario reservado para la docencia en inglés","28"
"CV0004","Inglés Técnico II-S / Horario reservado para la docencia en inglés","Anglés Tècnic II-S / Horari reservat per a la docència en anglés","28"
"CV0005","Formación y orientación laboral ","Formació i orientació laboral ","57"
"CV0006","Formación y Orientación Laboral II","Formació i Orientació Laboral II","57"
